,"Hartford, CT","Bridgeport, CT","New Haven, CT","Norwich, CT","Torrington, CT"
2006-04-30,268385.62196502526,558947.1482708723,297268.71514740953,292162.008556349,288768.8454634537
2006-05-31,269745.03616934264,560595.6970628556,300429.39313188964,292960.96155203495,289736.4861406159
2006-06-30,271409.3461208692,561333.7787412931,301557.46680177964,293174.3411015095,290912.62025133456
2006-07-31,272573.6483454764,560573.3481655793,302752.2789574671,293112.437375707,291901.70680728875
2006-08-31,273631.19046131853,558777.333549843,302837.76537844917,293171.09604971437,292810.6143362737
2006-09-30,274129.98833251494,556728.4617960849,302819.5031613517,293098.72356108925,293259.530194345
2006-10-31,274220.55977794115,555633.9945790642,302116.71256084816,292137.9876290953,293471.51437857345
2006-11-30,274079.49332619505,554581.1402424411,301165.59576064086,291032.1763206939,292892.1273724548
2006-12-31,274083.2627130859,553389.8566335465,300378.0828563657,289463.7978949141,292148.4165775446
2007-01-31,274416.66891369806,550198.6165053379,300644.2792898126,289120.28821718215,290979.02613968734
2007-02-28,274641.4545073528,548301.1677423365,301436.8948379038,289037.8240698686,289253.85483016056
2007-03-31,275050.0587427798,545906.2585856734,301861.33484803676,289994.1740867318,288533.79930899455
2007-04-30,275193.1366165019,545084.8533980009,301238.54901678074,290643.7317774961,288557.859705077
2007-05-31,275277.03556647495,543603.7265921998,300082.2758882568,290973.7481458946,289762.6964435396
2007-06-30,274946.7673118077,542693.3124000054,298671.54615705693,290174.4516656547,289764.9966382007
2007-07-31,274341.65664086037,541604.8295600257,297289.5539132723,289265.52060917875,289154.16526025854
2007-08-31,273691.23187440215,539861.3514512416,296389.40832190524,288762.51207477174,288155.6329179736
2007-09-30,272939.3128931891,538662.2704588604,295773.51783154905,289276.42565840954,287707.1889327495
2007-10-31,272412.2273344734,537746.7740550697,295068.2251624222,289692.5351630396,287299.7151152511
2007-11-30,271773.7857165662,535932.6310185348,293798.48998010467,289531.5639111724,286856.69327096845
2007-12-31,271364.9740127442,534026.5733330835,292034.7528195995,288154.1679874512,286290.7224846685
2008-01-31,270540.69254153414,532130.6131093617,289006.4588578286,285110.6192149638,285103.56956141716
2008-02-29,269265.45589701046,531034.7859114808,285566.02486713283,282065.87877863675,283957.4429589556
2008-03-31,267726.9329012865,529060.0610755272,281434.7248727708,279559.12854461436,283390.67155070347
2008-04-30,266231.7352100061,525779.2840645527,278648.518166408,278669.82189480687,283639.0644936637
2008-05-31,264937.1294936995,522672.93871926033,277180.3030665567,277583.79931403656,283630.9067055592
2008-06-30,263662.21951119596,519794.97221185686,277094.20743085747,276049.30797996087,282017.5545098411
2008-07-31,262465.10368511156,516796.8649685597,276557.6480787177,273798.7206781782,280146.44681539584
2008-08-31,261135.9908778836,513209.45204845903,274742.096153235,271583.6141650009,277699.589394401
2008-09-30,259596.5563108372,508509.1374353003,271994.00912086666,268914.4782816392,275974.8393086694
2008-10-31,257950.19308303576,503231.9460805932,268958.1450274987,266189.2086412248,274424.09767168015
2008-11-30,255862.71190663907,497909.6196020975,266738.8501037001,263213.6758074451,273888.0273203435
2008-12-31,254042.06783473204,491679.9400291539,264941.86372200976,261409.97801241907,273965.7083646174
2009-01-31,252601.55448783332,484887.5421901601,263535.03819749947,260403.96348049035,273565.4407815602
2009-02-28,252046.886342073,479310.04211489746,262958.0289390248,259430.00210235865,273355.6273267802
2009-03-31,251223.55815013344,474831.66213466553,262142.86122634303,257287.7375867113,272764.7997787781
2009-04-30,250560.607012718,471301.7907386617,261124.5517913854,254530.91053953208,272168.3142035622
2009-05-31,249548.171784069,466688.7661105895,258502.2835694619,252608.64431816744,270421.47727207514
2009-06-30,248603.04363166168,463334.0760043061,255406.15875718335,251140.52245364987,268928.9576123578
2009-07-31,247172.09495152129,460532.3433708792,252459.07818046064,249583.9433883096,267125.3035692854
2009-08-31,245880.62942952328,459895.7811789638,250618.9159588909,247514.94016263905,266403.9220556112
2009-09-30,244949.24169242915,458190.76290147455,249391.6311265796,245736.1180554782,264728.7625663257
2009-10-31,244301.59705979747,456339.57556633017,248285.2135458568,244705.37373723648,263522.1826018852
2009-11-30,243463.72862115188,453512.9239803073,246857.6880082283,243722.23203707696,260507.53752061943
2009-12-31,242192.4205662829,451455.2812547183,245810.95554777156,243075.25444234803,257095.19884013812
2010-01-31,240660.17681730856,449547.9114494952,245256.5131191544,242823.76221486833,252935.6613817251
2010-02-28,239670.69362123945,447728.5634014429,245456.99137824235,242944.7984468167,251121.5431302905
2010-03-31,239558.42766530177,447000.53573719674,245951.17769214264,243778.48617698575,249679.9976745333
2010-04-30,240425.10224994356,448283.0421405598,247359.95157941055,244371.69187101073,248446.0047759519
2010-05-31,241538.262593211,450521.5994350218,248377.2722047415,245076.52839863204,246188.8681899479
2010-06-30,242527.03081165624,451695.1586564156,249392.71101641576,245130.3906101357,245092.98929171392
2010-07-31,242750.59968516615,451341.65061435057,249280.39827709112,244532.29513448724,244693.60432069417
2010-08-31,242487.26188028677,449228.4779065923,248572.1495425437,243615.6910256932,244630.46501106527
2010-09-30,241772.9058101196,446370.20998628903,247104.90032769195,242333.03599805245,245069.13248589673
2010-10-31,240296.27449895433,441040.2799524882,245070.8501629244,240855.11650431383,245504.98612056056
2010-11-30,238542.0397726545,435068.48829436954,242686.87941959975,238509.5417599225,245556.9250130398
2010-12-31,236583.0563051367,430587.5602572793,240197.95229972084,236231.41948805677,245526.95417620149
2011-01-31,235362.4854933681,429853.04011747753,238646.8822733139,234551.77403904832,245721.13656675583
2011-02-28,234397.44449050576,429897.83234048967,237823.5989403594,234278.4491378804,246068.40034991657
2011-03-31,232847.37663660312,428861.36654721183,237338.61121816628,233465.09920977047,245858.83397492545
2011-04-30,231622.1842589668,425589.1040511995,236563.10922497523,232461.17339679567,245433.51252901144
2011-05-31,229989.2050469031,423235.781059381,235506.24927673547,230710.06675967385,244817.66069439068
2011-06-30,229258.91270721052,422472.8197762249,234151.22970041275,230104.8122514503,243768.95633177293
2011-07-31,228169.2846549943,422059.46044216055,232264.27440111953,229154.2053556643,242992.8399691203
2011-08-31,227189.42852171056,420537.3704135123,230227.07952289004,227767.60120500156,241658.33217577628
2011-09-30,225675.7502797386,417739.50847762387,228221.62857212048,225448.91661613132,240548.15702578923
2011-10-31,224048.3247992889,415578.63522527553,226229.575454791,223099.5505572972,238175.5933974304
2011-11-30,222624.58081650143,414366.69643039256,224411.10797321823,221194.09824444703,236245.9201716108
2011-12-31,221782.78551465337,413012.7722013227,222554.73469581423,219875.149399746,233168.27140392156
2012-01-31,221058.3074313271,411564.14359696343,221330.17221283095,218883.17469949843,230108.7437918957
2012-02-29,220645.1402124743,410247.71403472614,220801.9462313332,217802.00696231943,227027.0239478649
2012-03-31,220786.2669309803,410799.94317513495,220755.63076037308,216950.7936213821,225371.5037334613
2012-04-30,221126.16300127903,411821.0816997041,220667.14793052335,216227.31181938152,224397.732151791
2012-05-31,221289.82076287817,412669.0784625728,220012.0452906814,215872.03546048037,223788.877925595
2012-06-30,221037.56526503872,412876.7669900326,219164.65678807805,215655.33373182593,223226.1783898593
