,interest,vacancy,inflation,price,value,adj_price,adj_value,next_quarter,increase,interest_ratio,vacancy_ratio,price_ratio,value_ratio,inflation_ratio
2009-05-16,4.86,10.6,213.022,235000.0,249595.91954595948,110317.24422829568,117169.08091462828,111350.92483000302,1,0.8516833484986351,1.0493051589567863,0.9897306936303216,0.9503052687405193,0.9903824094205717
2009-05-23,4.82,10.6,213.022,227500.0,249595.91954595948,106796.48111462666,117169.08091462828,113718.1183132586,1,0.8481895093062607,1.0481080053242062,0.95927010491885,0.9519428338780236,0.9905760128657848
2009-05-30,4.91,10.6,213.022,203750.0,249595.91954595948,95647.39792134146,117169.08091462828,107568.05681264361,1,0.8672554347826087,1.0469135802469136,0.8619397117305886,0.9535860524589187,0.9907696920183657
2009-06-06,5.29,10.6,214.79,233000.0,247540.0892153567,108478.04832627218,115247.49253473475,95895.04356970458,0,0.9365700861393893,1.0457218744071333,0.9858306774786917,0.9475103969274018,0.9990300470736654
2009-06-13,5.59,10.6,214.79,200000.0,247540.0892153567,93114.20457190745,115247.49253473475,107059.63559883444,1,0.9913375622399562,1.0445328785294672,0.8499063019163018,0.9492957841786259,0.9990674006525869
2009-06-20,5.38,10.6,214.79,230000.0,247540.0892153567,107081.33525769356,115247.49253473475,95431.78248965771,0,0.9564117466069536,1.043346583380655,0.979794362790818,0.9512336158517546,0.9993063330193804
2009-06-27,5.42,10.6,214.79,220000.0,247540.0892153567,102425.62502909818,115247.49253473475,100064.39329012652,0,0.9664963478618702,1.0421629797693326,0.9391950819016697,0.9531793752391826,0.9995453796974448
2009-07-04,5.32,11.1,214.726,241150.0,246102.3947613166,112305.91544573083,114612.29416154383,107154.8988725642,0,0.9522563767168084,1.089056603773585,1.031505595266778,0.9496870812074915,0.9994923654757321
2009-07-11,5.2,11.1,214.726,215250.0,246102.3947613166,100244.03192906309,114612.29416154383,98379.28215455246,0,0.9347991426398397,1.086800979099981,0.924342870507021,0.9517396161970734,0.9997373012366898
2009-07-18,5.14,11.1,214.726,240000.0,246102.3947613166,111770.34918919926,114612.29416154383,106358.16524948155,0,0.9278944627668807,1.0843509299267329,1.0355434524570635,0.9535611786651892,1.0001214575333945
2009-07-25,5.2,11.1,214.726,228500.0,246102.3947613166,106414.68662388348,114612.29416154383,92374.91282117603,0,0.9425543781372002,1.0819119025304593,0.9885896190768344,0.9553897271881805,1.0005059091732642
2009-08-01,5.25,11.1,214.726,230000.0,247286.00416870424,107113.25130631597,115163.51264807441,99303.03128276423,0,0.9549795361527966,1.0794838227043202,0.9979854212353774,0.9617438533793555,1.0008906564970237
2009-08-08,5.22,11.1,215.445,230000.0,247286.00416870424,106755.78453897747,114779.17991538641,106912.36178498762,1,0.9542290655979749,1.0770666169061391,0.9986103785509847,0.9635095703817926,1.0045636551205608
2009-08-15,5.29,11.1,215.445,239900.0,247286.00416870424,111350.92483000302,114779.17991538641,92296.78595431654,0,0.9712247996328073,1.0746602122509774,1.042778162713283,0.9650267412809768,1.0048854240423568
